Video ID,Title,Category,Views,Duration,Likes,Comments,Uploaded Date,Date,Tags,Channel Title,Channel Total View,Channel Subscribers,Channel Video,Channel Keywords
8jTQlLXonKg,こむちっくweek開催決定でUberパーティーしたら仲良くなりすぎて大騒ぎwww,Entertainment,657572,30~60min,15430.0,776.0,2024-06-23,2024-06-26,"['むくえなちっく', 'むくえな', 'むく', 'えなぴ', 'TikTok', '双子', '幼馴染', 'コムドット', 'ゆうた', 'ゆうま', 'ひゅうが', 'やまと', 'あむぎり', '恋バナ', '恋愛', 'ウーバーイーツ', '食べ放題', '大食い', '爆食']",むくえなちっく。,484380218,1230000,1118,"['むくえな', 'ツインズ', 'あるある', '大食い', '幼馴染', '親友', 'モッパン', '爆食']"
FtpM1JPvnCo,出産間近入院バッグの中身紹介忘れ物無いか不安すぎるけど多分大丈夫やと思う笑,People & Blogs,273832,10~30min,5532.0,815.0,2024-06-23,2024-06-26,"['パパラピーズ', 'タナカガ', 'GABGAB', '妊婦', '妊娠', '子供', '赤ちゃん', '入院', '入院バッグ', '陣痛', '陣痛バッグ', '中身紹介', 'ワッツインマイバッグ', 'カバンの中身', '出産', '無痛分娩', '出産準備', 'パッキング', '第一子', '退院', 'ベビー', 'ベビー用品', 'ベビーグッズ', 'ママ', '準備', '入院準備', '入院バッグ', '陣痛バッグ', '出産準備', 'カバンの中身紹介', '出産']",タナカガ,56750323,513000,137,
HkU2TDZcomk,認知症記憶障害これが認知症介護者を苦しめる実際の映像だ認知症介護の苦悩を解決する生成AIはここまできた症状悪化で在宅介護10年目の壁,People & Blogs,419670,10~30min,5555.0,415.0,2024-06-23,2024-06-26,"['生成AI', '人工知能', 'デイサービス', '認知症', '認知症おばあちゃん', '在宅介護', 'おばあちゃん']",認知症ポジティブおばあちゃん,53537472,100000,201,"['おばあちゃん', '認知症', 'デイサービス', 'ルーティン', '物取られ妄想', '認知症おばあちゃん', '認知症ドキュメンタリー', '認知症ばあちゃん', '介護', 'アルツハイマー', '子供返り', '在宅介護', '鉄板ネタ', '要介護', 'ポジティブ', '徘徊', '認知症対応', '認知症ケア']"
MJ643Z3VAt0,ダイエット本気で痩せたい人はこの動画見て,People & Blogs,1037253,10~30min,13621.0,1307.0,2024-06-22,2024-06-26,,きりまる,231797623,962000,369,
6g3gfqnXqug,ガン闘病2年天国へ旅立った母へ捧げる新たな決意40歳ホスト最後の挑戦,Entertainment,478329,10~30min,7827.0,277.0,2024-06-22,2024-06-26,"['夫婦', 'カップル', '破天荒', '大阪', '破天荒夫婦', 'みやび', 'りきや', 'みやびちゃん', 'みーや', '嫁が破天荒']",破天荒夫婦～嫁が破天荒過ぎて愛しい～,233134254,298000,906,"['夫婦', 'カップル', 'みやび', '破天荒', '破天荒夫婦', '嫁', 'りきや']"
LRGzXwbtRaM,YouTuberがみんな結婚して取り残された独身YouTuber達,Entertainment,2339729,30~60min,61824.0,5179.0,2024-06-21,2024-06-26,"['hajime', 'はじめしゃちょー', 'funny', 'crazy', 'japanese', 'はじめ']",はじめしゃちょー（hajime）,11313402530,14200000,3066,"['はじめしゃちょー', 'はじめ', 'しゃちょー', 'コメディ', 'バカ', 'おもしろ動画', 'はじめ社長', '大学生', 'YouTube', 'Hajime', 'Hajimesyacho']"
a1KW_9iK1lk,QuizKnockコラボ須貝が一番好きなお笑い芸人は東大王も頭を抱える答え連発ナイスガイの須貝クイズ対決令和ロマン,Entertainment,402015,10~30min,12184.0,824.0,2024-06-21,2024-06-26,"['令和ロマン', '漫才', 'コント', '吉本', 'ネタ', '漫才劇場', 'M-1', 'お笑い', '芸人', 'おもしろ', '無限大', 'れいわろまん', '大和証券', 'ニューヨーク', '零話ロマン', '魔人無骨', '大喜利', 'ナイスガイ須貝さん', 'バッドボーイズ須貝さん', '吉本興業', 'お笑い', 'M1', '令和ロマン', 'くるま', 'ケムリ', '漫才', 'クイズノック']",official令和ロマン【公式】,105632334,375000,641,"['M', '1', '漫才', 'コント', '魔人無骨', '令和ロマン', 'ケムリ', 'くるま', '吉本興業']"
6gKIA3_ihCY,石神のぞみ3D お披露目Welcome to Undergroundこれがスーパーカリスマインフルエンサーのすがた石神のぞみにじさんじ所属,Gaming,697445,1~10hrs,40361.0,542.0,2024-06-21,2024-06-26,"['nijisanji', 'にじさんじ', '石神のぞみ', 'デビュー', 'VTuber', '雑談', '新人VTuber', '世界征服', 'スーパーカリスマインフルエンサー', '石神崇拝ストリーム', '石神のぞいて', 'ゲーム実況', '実況', '配信中', 'にじさんじ配信中', 'nijisanji jp', 'talk', '3Dお披露目']",石神のぞみ / Ishigami Nozomi【にじさんじ】,25095265,195000,401,
QKJIPF8QK7I,実写からぴちパラダイス in 幕張メッセの様子を少しだけ公開します初リアルイベント,Entertainment,738250,10~30min,38920.0,3460.0,2024-06-21,2024-06-26,"['マイクラ', 'まいくら', 'マインクラフト', 'minecraft', 'からぴち', 'カラフルピーチ', 'じゃぱぱ', 'たっつん', 'のあ', 'なおきり', 'ゆあん', 'えと', 'ヒロ', 'うり', 'どぬく', 'もふ', 'シヴァ', 'るな', 'パラぴち', 'からぴち']",カラフルピーチ,1825208724,1880000,724,['じゃぱぱ']
lte37iUCGpI,んぽちゃむ洗濯,Entertainment,714678,< 1min,38050.0,1469.0,2024-06-20,2024-06-26,,可哀想に!,335874224,1180000,72,
DjIUNrDhZD4,TAISEI FUKUMOTO  Colorfull  Official Teaser,People & Blogs,160461,< 1min,12662.0,1200.0,2024-06-20,2024-06-26,"['Colorfull', 'よんもじ', 'Colorfull']",福本大晴,157636,102000,1,
CQQgfhAsKJc,虫眼鏡てつパパとしパパ爆弾婚約を知る,Comedy,1173766,30~60min,25002.0,1081.0,2024-06-19,2024-06-26,,東海オンエアの控え室,2894272509,3010000,2281,
eTqkUlmSb5g,崩壊スターレイルホタル育成ガイド使い方光円錐遺物オーナメントPT編成凸すべて解説,Gaming,230552,10~30min,2328.0,344.0,2024-06-19,2024-06-26,"['スターレイル', 'starrail', '崩壊スターレイル', 'スターレイル', 'Star', '崩壊', 'honkaistarrailmeme', 'honkaistarrail', 'hoyocreators']",ボビー,51529750,76200,1684,"['ゲーム', '崩壊スターレイル', 'スターレイル', '崩壊', 'ホヨバース', 'hoyoverse', '原神']"
3p0s3PHU0JY,ロケVTR激闘ワカサギ釣り対決いぬたかししらむ,Gaming,411356,30~60min,20147.0,460.0,2024-06-18,2024-06-26,"['ホロライブ', 'VTuber', 'バーチャルYouTuber', '戌神ころね', 'ホロライブゲーマーズ', 'hololive', 'ゲーム実況', '実況', 'いぬたかししらむ']",Korone Ch. 戌神ころね,351758952,2100000,1020,"['ホロライブ', 'hololive', 'ホロライブゲーマーズ', 'ゲーム実況', '実況', 'バーチャルyoutuber', 'Vtuber', 'VTuber', 'バーチャルYouTuber', '戌神ころね']"
etszyIkZV_4,お前ネットで俺のことバカにしたよなポケモンSVゆっくり実況,Gaming,406132,10~30min,9208.0,549.0,2024-06-18,2024-06-26,"['ポケモン', 'ポケモン剣盾', 'ソードシールド', 'ぽへ', 'ぽへチャンネル', 'ゆっくり', 'ゆっくり実況', 'マッシブーン', '霊夢', '魔理沙', '任天堂', 'ゲーム', 'ゲーム実況', 'ソード', 'シールド', 'ランクマ', '人気', 'ダイマックス', 'DLC', 'ポリ2', 'ポリゴン2', 'レジェンズ', 'ポケモンSV', 'スカーレット', 'バイオレット', 'HOME', 'ポケモンホーム', '藍の円盤', 'ZA', 'レジェンズZA', '伝説', 'グラードン', 'ゆっくり', 'ポケモン', 'ポケモンSV']",ぽへチャンネル,620144173,641000,676,"['ポケモン', 'スマブラ', 'ゆっくり', 'ゆっくり実況', 'ポケモンUSUM', 'ポケモン剣盾', 'マイクラ']"
5P9WQMWm6kQ,Snow Man君は僕のものMusic Video YouTube Ver,Music,2559509,1~5min,117985.0,9633.0,2024-06-26,2024-06-27,"['Snow Man', 'スノーマン', '岩本 照', 'Hikaru Iwamoto', '深澤 辰哉', 'Tatsuya Fukazawa', 'ラウール', 'Raul', '渡辺 翔太', 'Shota Watanabe', '向井 康二', 'Koji Mukai', '阿部 亮平', 'Ryohei Abe', '目黒 蓮', 'Ren Meguro', '宮舘 涼太', 'Ryota Miyadate', '佐久間 大介', 'Daisuke Sakuma', 'スノは君のもの', 'SnowMan', 'すのちゅーぶ', 'BREAKOUT', '君は僕のもの', 'スノは君のもの', '熱い想い夏い想い', '岩本照', '深澤辰哉', 'ラウール', '渡辺翔太', '向井康二', '阿部亮平', '目黒蓮', '宮舘涼太', '佐久間大介']",Snow Man,3461718376,3250000,589,"['Snow', 'Man', 'snowman', 'スノーマン']"
VWBNI5Dz_E0,DaiCE  I wonder  THE FIRST TAKE,Music,846480,1~5min,40283.0,1825.0,2024-06-26,2024-06-27,"['the first take', 'firsttake', 'ファーストテイク', 'ふぁーすとていく', '一発撮り', 'TFT', '音楽', '音楽番組', 'Da-iCE', 'ダイス', 'だいす', 'daice', 'Da_iCE', '花村想太', '大野雄大', '工藤大輝', '岩岡徹', '和田颯', 'くるり誰が私と恋をした', 'Iwonder', 'アイワンダー', 'あいわんだー', 'THEFIRSTTAKE', 'Da_iCE', 'Iwonder']",THE FIRST TAKE,4509881274,9770000,878,
