Video ID,Title,Category,Views,Duration,Likes,Comments,Uploaded Date,Date,Tags,Channel Title,Channel Total View,Channel Subscribers,Channel Video,Channel Keywords
mWwzJuVUiEM,위스키 버거  마시지 마세요 패티에 양보하세요 feat 위스키 오크통을 장작으로 쓴 바베큐,Entertainment,566489,10~30min,8917.0,830,2024-07-03,2024-07-07,"['요리', '레시피', '오븐', '수비드', '육식', '고기', '육식맨', '고기요리', 'YOOXICMAN', 'Whiskey Burger', 'Whiskey', '위스키', '위스키 버거', '버거', '햄버거', '위스키 증류소', '위스키 양조장']",육식맨 YOOXICMAN,331229436,1210000,263,"['육식맨', 'YOOXICMAN', '육식', '고기요리', '고기', '스테이크', '수비드', '오븐요리', '육류', '소고기', '돼지고기', '닭고기', '양고기']"
RDIrfn6wzjw,먹방 브이로그 바라고 바라시던 요아정 가져왔습니다ㅣ아베베 베이커리 마라탕 교촌 허니콤보 떡볶이 로제떡볶이,People & Blogs,188486,30~60min,1328.0,243,2024-07-03,2024-07-07,"['마라탕', '상윤쓰마라탕', '다이어트', '먹방', '교촌', '허니콤보', '아베베', '아베베베이커리', '떡볶이', '요아정']",미소miso,26923378,84300,439,"['다이어트', '고도비만', '다이어트', '브이로그', '다이어트', '식단', '고도비만', '브이로그', '고도비만', '다이어트', '브이로그', '고도비만', '다이어트', '초고도비만', '초고도비만', '다이어트', '브이로그', '초고도비만', '브이로그', '초고도비만', '다이어트', '브이로그', '식단', '브이로그', '자취생', '브이로그', '집순이', '브이로그', '고도비만', '여자', '고도비만', '먹방']"
G4uOp6mAqBo,4차원 아기들 캠핑편  병맛더빙,People & Blogs,157949,1~5min,3095.0,368,2024-07-03,2024-07-07,"['병맛교수', '병맛더빙', '병맛만화', '애니메이션', '만화']",병맛교수,173666579,365000,108,"['병맛교수', '애니메이션', '만화', '병맛', 'Animation', 'Cartoon']"
-EHco_Rrr2E,일주일 동안 미역국만 먹어봤습니다 미역국 다이어트! 1탄,People & Blogs,240379,5~10min,3829.0,457,2024-07-03,2024-07-07,"['미역국맛있게끓이는법', '미역국먹방', '소고기미역국', '가자미미역국', '미역', '기역', '니은']",일주어터,190542429,661000,317,"['일주일', '다이어트', '다이어트후기', '다이어터', '단기다이어트', '일주일다이어트']"
pe3badQC7SM,북극에서 노홍철 궤도 빠니보틀의 과학아닌 과학 이야기 북극잡담1,People & Blogs,331221,30~60min,5288.0,348,2024-07-02,2024-07-07,['아무거나보틀 노홍철'],아무거나보틀 Anything Bottle,22082429,266000,81,
vTt-ZQ4i2Uo,기대 안했는데 미친 천상의 맛? 수제 아이스크림 만드는 기계 사용기 ㅋㅋㅋ,Science & Technology,1089508,10~30min,14289.0,1663,2024-07-01,2024-07-07,"['아이스크림', '아이스크림 기계', '아이스크림 메이커', '닌자 아이스크림', '닌자 아이스크림 메이커', '닌자 블렌더', '아이스크림 만들기', '브레빌', '브레빌 아이스크림', '잇섭 스튜디오', '잇섭 사무실', '잇섭 회사', '잇섭 직원', '쿠진아트', '쿠진아트 아이스크림', '브레빌 스마트스쿱', '브레빌 스마트 스쿱', '브레빌 bci600', 'bci600', '잇섭 아이스크림', '브레빌', '스마트스쿱', '아이스크림메이커']",ITSub잇섭,1126757716,2560000,1241,"['it', '전자제품', '리뷰', '일상', '전자기기', '스마트폰', '컴퓨터', '게이밍', '테크', 'Tech']"
hIQnfWIprLg,마운틴뷰 삼겹살 파티,Entertainment,244433,5~10min,5611.0,139,2024-07-03,2024-07-07,"['삼겹살', '한돈', '먹방', '천뚱']",천뚱TV,132065835,682000,144,"['천뚱', '천뚱', '먹방', '먹방']"
GfHAH6wwlYY,다X소 특,Film & Animation,1219224,1~5min,23220.0,868,2024-07-03,2024-07-07,"['총몇명', '다이소', '다이소 꿀템', '다이소 필수템', 'ㅋㅋㅋ', '다이소 쇼핑', '공감', '다이소 공감']",총몇명,1802283423,3400000,618,"['총몇명', '애니메이션', '총몇명스토리', '나천재', '민모리']"
M7MaaDilxz0,35년전 대박 보리밥집 사장님께 배운 얼갈이열무김치 레시피 밥에 석석 비벼드셔유,Howto & Style,142887,5~10min,1518.0,57,2024-07-01,2024-07-07,"['한식', '반찬', '밑반찬', '영자씨의 부엌', 'Korean recipes', 'Korean mom', 'K-food', 'Korean style food', 'banchan', '자취음식', 'Korean Traditional Food Recipe', ""youngja's kitchen"", '얼갈이열무김치', '얼갈이김치', '열무김치', '얼갈이열무', '여름김치', '얼갈이열무김치']",영자씨의 부엌Young-Ja's Kitchen,294100825,902000,1876,"['김치', '음식', '엄마', '반찬', 'k', 'food', '전통음식', '韓国料理', '영자씨의부엌', 'korean', 'food', 'korea', 'food', 'Young', 'ja', 's', 'kitchen', 'youngjaskitchen']"
tI6g0Xf-8Y4,비행기 방탈출! 하늘을 날아가는 비행기에 갇힌 허팝은 탈출에 성공할 것인가?!,Entertainment,280180,10~30min,3857.0,545,2024-07-01,2024-07-07,"['허팝', 'heopop', 'gjvkq', 'escape', 'airplane', 'air', 'korean air', '경운대학교', '경운대', '방탈출', '비행기', '비행기 방탈출', '도망', '탐정', '탈출', '조종석', '조종', '비행기 조종', '허팝', '비행기방탈출', '방탈출', '비행기', 'escape', 'heopop', 'airplane']",허팝Heopop,4082405673,4260000,2306,"['허팝', 'Heopop', 'HeopopTV']"
