Video ID,Title,Category,Views,Duration,Likes,Comments,Uploaded Date,Date,Tags,Channel Title,Channel Total View,Channel Subscribers,Channel Video,Channel Keywords
dT4qG6x6Qfo,INI  Walkie Talkie Performance Video,Entertainment,285653,1~5min,19411.0,2248.0,2024-06-30,2024-07-01,"['INI', 'アイエヌアイ', 'PRODUCE101', '아이앤아이', '池﨑理人', '尾崎匠海', '木村柾哉', '後藤威尊', '佐野雄大', '許 豊凡', '髙塚大夢', '田島将吾', '西洸人', '藤牧京介', '松田迅', 'INI', 'INI_THE_FRAME', 'INI_LOUD']",INI,511381790,549000,653,"['INI', '池', '理人', '尾崎匠海', '木村柾哉', '田島将吾', '後藤威尊', '佐野雄大', '許豊凡', '髙塚大夢', '西洸人', '藤牧京介', '松田迅', 'プデュ', '日プ', 'PRODUCE', '101', 'JAPAN', 'PRODUCE', '101', 'アイエヌアイ', 'Brighter', 'Rocketeer', 'We', 'Are', 'CALL', '119', 'INIフォルダ']"
0div3jlj_YI,動脈瘤破裂30救急搬送ICU入院までの全貌お話しします,People & Blogs,134307,10~30min,4516.0,203.0,2024-06-30,2024-07-01,"['乳がん', '末期', '余命宣告', '回復', '抗がん剤', 'ステージ4', '骨転移', '癌', '治療', 'パクリタキセル', '副作用', '脱毛', 'ウィッグ', '抗がん剤治療', 'アバスチン']",ミミポポCH【34歳で余命宣告された私】,48093500,105000,259,"['ミミポポ', '乳がん', '骨転移', 'mimipopo', '余命宣告', 'AYA世代', '花咲乳がん', '癌', 'ガン', 'ミミポポチャンネル', 'ミミポポch', '末期', 'ガン末期', '闘病', '癌サバイバー', '車椅子', '聖句', '聖書のことば', 'breast', 'cancer', 'bone', 'metastasis', 'to', 'live', 'due', 'cancer', 'the', 'terminal', 'stage', 'cancer', 'journey', 'cancer', 'survivor', 'wheel', 'chair', 'verse', 'verses', 'bible', 'verse', 'Adolescent', 'Young', 'Adult', 'AYA', 'クリスチャン', '여성암', '시한부선고', '미미포포', '유방암', '골전이', '시한부', '암', '미미포포채널', '미미포ch', '말기', '암말기', '투병', '암서바이버']"
JiekfmrFfHY,大暴れYouTuberの壮絶な1週間に密着したけどほぼ記憶はございません,Entertainment,589785,30~60min,12973.0,1565.0,2024-06-29,2024-07-01,"['平成フラミンゴ', 'にこ', 'エンタメ', 'vlog', '独身', 'アラサー']",にこちゃん放送局,69541168,1040000,41,"['平成フラミンゴ', 'へいふら', 'ヘイフラ', '平フラ', '一宮にこ', 'にこ', 'NICO', 'にこちゃん']"
xsinapjPoNE,パパラピーズ無期限活動休止します,Entertainment,401356,5~10min,12681.0,1100.0,2024-06-30,2024-07-01,"['パパラピーズ', 'ぱぱらぴーず', 'paparapys', 'タナカガ', 'たなかが', 'tanakaga', 'じんじん', 'jinjin', '男女', 'デブ', '活動休止', '活休', '個人チャンネル', '無期限', '無期限活動休止', '産休', '出産', '育児休暇', '育休', '妊娠', '赤ちゃん', '妊婦', 'パパラピーズ', '活動休止', '報告']",パパラピーズ,921034092,1810000,1016,"['パパラピーズ', 'じんじん', 'タナカガ', 'デブ', 'ブス', '男女', '渡辺直美', 'ドッキリ', 'GABGAB', 'JINCL', '大食い', 'ウーバーイーツ']"
_xzKQbveFuI,速報ダイジェスト開催国ドイツが攻守ともに強さを見せる UEFA EURO 2024 ラウンド16 ドイツ vs デンマーク,Entertainment,376360,5~10min,1528.0,178.0,2024-06-29,2024-07-01,"['ABEMA', 'W杯', 'ワールドカップ', 'FIFA', 'FIFA World Cup', 'FIFA World Cup 2022', 'サッカー', '日本代表', '本田圭佑', '稲本潤一', '岡崎慎司', '乾貴士', '中山雅史', '鈴木隆行', '森島寛晃', '中田英寿', 'ヒデ', '中村俊輔', '俊輔', 'しゅんすけ', '玉田圭司', '遠藤保仁', '香川真司', '大迫勇也', '大迫半端ないって', '原口元気', '川島永嗣', '長友佑都', '長谷部誠', '宮本恒靖', '大久保嘉人', '吉田麻也', '川口能活', '小野伸二', '中澤佑二', '山口蛍', '中田浩二', '三都主アレサンドロ', '駒野友一', '柳沢敦', '三笘薫', 'オナイウ阿道', '坂元達裕', '稲垣祥', '中谷進之介', '山根視来', '川辺駿', '小川諒也', '田中碧', '古橋亨梧', '板倉滉', '中山雄太', '久保建英', '橋本拳人', '鎌田大地', '冨安健洋', '守田英正', '堂安律', '佐々木翔', '中島翔哉', '伊東純也', 'バルセロナ', 'リヴァプール', 'レアルマドリード', 'チェルシー', 'バイエルンミュンヘン', 'アーセナル', 'マンチェスターユナイテッド', 'マンU', 'ユヴェントス', 'ACミラン', 'リオネル・メッシ', 'メッシ', 'クリスティアーノ・ロナウド', 'ロナウド', 'ネイマール', 'キリアン・エムバペ', 'ロベルト・レヴァンドフスキ', 'モハメド・サラー', 'ディディエ・ドログバ', 'ABEMA', 'UEFAEURO2024', 'アベマでEURO2024全試合無料生中継', 'euro2024']",ABEMA サッカー 【公式】,36119235,237000,595,
8WigJ-_OhG8,大泣き生後2ヶ月はじめての予防接種で注射4本打ってギャン泣き2months old baby challenges vaccination!!,Entertainment,251050,10~30min,6021.0,303.0,2024-06-30,2024-07-01,"['VAZ', 'MelTV', 'メイク', 'ファッション', 'コスメ', '美容', 'ゆん', 'ゆんちゃん', 'ゆん氏', 'ゆんちゃんねる', '可愛い', 'かわいい', 'カワイイ', '美少女', '美女', 'あるある', 'ヴァンゆん', 'コント', '結婚', '妊娠', 'ママ', '子育て', '旦那', 'シルク', 'シルクロード', 'ロードシルク', 'コルク', '子供', '子ども', 'ワンオペ', '夫婦', '夫妻', 'カップル', '予防接種', '2ヶ月', '生後2ヶ月', 'ワクチン', 'ゆん']",ゆんちゃんねる,407997733,1030000,741,
5HupjeLINd8,歴史的快挙52年ぶりの決勝進出終盤ダイジェスト準決勝 日本 vs スロベニア解説 福澤達哉    バレーボールネーションズリーグ2024,Sports,797745,5~10min,8234.0,671.0,2024-06-30,2024-07-01,"['西田有志', '小野寺太志', '深津旭弘', '宮浦健人', '大塚達宣', '山内晶大', '高梨健太', '関田誠大', '大宅真樹', '髙橋健太郎', '富田将馬', '髙橋藍', '小川智大', '石川祐希', '甲斐優斗', '西山大翔', '高橋和幸', '山本智大', '永露元稀', 'エバデダンラリー', '高橋慶帆', '山本龍', '山崎彰都', '麻野堅斗', '新井雄大', '仲本賢優', '西本圭吾', 'ブラン監督', '龍神NIPPON', 'YukiIshikawa', 'Ran', 'RanTakahashi', 'Ishikawa', 'ยูกิอิชิคาว่า', 'อาสาสมัครนิชิดะ', 'รันทาคาฮาชิ', 'อิชิกาว่า', 'Yuki Ishikawa', 'ยูกิ อิชิคาว่า', 'Takahashi', 'ทาคาฮาชิ', 'Ran Takahashi', 'รัน ทาคาฮาชิ', 'Nishida', 'นิชิดะ', 'Nishida yuji', 'นิชิดะ ยูจิ', 'วอลเลย์บอลชาย', 'panlalaking volleyball', 'volleyball', 'วอลเลย์บอล', 'ryujin nippon', 'ริวจิน นิปปอน', '日本代表', 'ハイキュー', '日向翔陽', '影山飛雄', '孤爪研磨', '月島蛍', '甲斐くん', 'バレーボール男子日本代表', 'バレーボール', 'ネーションズリーグ', 'volleyball', 'VNL2024']",【公式】TBS スポーツ,338922079,384000,3946,"['スポーツ', 'TBS', 'スポーツ全般', '陸上', 'ゴルフ', '野球', 'サッカー', 'テニス', 'バレーボール', 'イチロー', 'バース・デイ', 'サンデーモーニング', 'SPORTS', '格闘技', 'ボクシング', 'TBSスポーツ', 'S', 'S', 'ニュース23', 'Nスタ', '御意見番', '上原', '唐橋', 'SBCテニス', '卓球', 'アジア大会', '世界陸上', '石井', 'アナウンサー', 'ヒーロー', 'ヒロイン', '高橋尚子', 'マスターズ', '世界バレー', 'ネーションズリーグ', 'テニス', 'SBC', 'sbcテニス', 'WBC', '侍ジャパン', '大谷', '大谷翔平', 'マスターズ']"
iux5K7dW7Hc,久しぶりのお子帰宅! はなまさとの距離縮まるの巻,Entertainment,159702,10~30min,3545.0,108.0,2024-06-30,2024-07-01,"['軍曹と歩兵', 'ぐんほへ', 'ぐんほへチャンネル', 'ジョージ', '理紗', '軍曹', '歩兵']",軍曹と歩兵,45859278,291000,89,"['夫婦チャンネル', 'カップルチャンネル', 'YouTuber', 'YouTuber夫婦', 'ライフスタイル']"
wmZMMmbEM24,東京03  万引き第2回東京03単独ライブtrio de sunshineより,Entertainment,202925,5~10min,4304.0,405.0,2024-06-30,2024-07-01,"['東京03', 'triodesunshine']",東京03 Official YouTube Channel,193310480,784000,47,"['東京03', 'お笑い', 'コント', 'ネタ', '爆笑', '飯塚', '角田', '豊本', '単独ライブ', '単独公演', 'コンテンツリーグ', 'tokyo03']"
IzjVfy_1E-o,気になる子とデートに行った日大学青春,People & Blogs,137082,10~30min,2760.0,535.0,2024-06-30,2024-07-01,"['＃あるある', '＃青春', '＃大学生', '＃女子大学生', '＃男子大学生', '＃片思い', '＃両思い', '＃告白', '＃キュンキュン', '＃リアル', '＃ルーティン', '＃ドラマ', '＃ドライブ', '＃デート', '＃カフェ', '恋愛', '青春', '大学生', '大学生あるある', 'あるある', '青春あるある', '学校あるある', 'リアル']",大学生がムズすぎる。,99798042,134000,346,
