Video ID,Title,Category,Views,Duration,Likes,Comments,Uploaded Date,Date,Tags,Channel Title,Channel Total View,Channel Subscribers,Channel Video,Channel Keywords
0GTyDijQEUQ,Performance37 RIIZE라이즈 Boom Boom Bass 4K,Entertainment,1863132,1~5min,70285.0,3646.0,2024-06-19,2024-06-23,"['CJ100', 'Dance', 'K-Pop', 'Kpop', 'K팝', 'Live', 'M2', 'MPD', 'Mnet', '댄스', '라이브', '아이돌', '안무', '엠넷', '엠투', '엠피디', '한국', 'Performance37', 'RIIZE', '라이즈', 'M2']",M2,9734474322,10000000,23921,"['M2', '엠투', 'kpop', 'K팝', 'mnet', '엠넷', '케이팝', 'mcountdown', '엠카운트다운', 'mama', '마마', 'mpd', '엠피디', 'fancam', '직캠']"
NCfPCBqtGsE,자매 손절 브이로그,People & Blogs,288032,10~30min,7213.0,323.0,2024-06-21,2024-06-23,"['타투', '타투이스트', '냐아', '으냐', '단하나', '김경은', '이하나', '하나경은', '하나', '경은', 'couple', 'goals', 'danhana', 'tattoo', 'dantattoo', 'dan', '21lee21', 'iwantdan', 'korean', 'hana', '먹방', '요리']",다나나,160968856,888000,83,"['단하나', '김경은이하나', '으냐아', '이하나김경은', '레즈', '레즈커플', 'tattoo', '오아시스잉크', '홍대타투', '요리', '간편요리', '다나나', '패션', '먹방', '뷰티', '리빙']"
ArSgGY8yauo,6모 개망한 고3 일주일 브이로그,People & Blogs,121717,30~60min,2980.0,726.0,2024-06-21,2024-06-23,"['학생브이로그', '와코', '일상브이로그', '고3브이로그', '고3', '고삼', '학생브이로그', '고3', '토익', '산타토익']",와코,17127637,103000,82,"['브이로그', '학생브이로그', '일상', 'GRWM', 'VLOG', '공부브이로그', '여행브이로그', 'korean', 's', 'korean', 'student', 'vlog', 'korean', 'school']"
HYKnPHwD7po,박수홍 행복해다홍 임신24주  임당검사  저당식단  임신7개월  임산부 다이어트 ,Pets & Animals,180820,5~10min,5430.0,409.0,2024-06-21,2024-06-23,"['박수홍', '김다예', '다홍이', '전복이', '임신', '출산', '육아']",박수홍 행복해다홍,53733344,518000,130,"['반려동물', '고양이', '검은고양이', 'blackcat', 'catvideo', 'cat', 'luckyblackcat', '박수홍', '다홍이']"
zK0wGf63GgA,곡예사,Gaming,232754,5~10min,3476.0,805.0,2024-06-20,2024-06-23,"['광동프릭스', '다큐멘터리']",광튜브,13804957,62600,132,"['씨맥', '맥문철', '주영달', '두두', '영재', '불독', '태윤', '광동', '광동프릭스', 'KDF', 'Kwangdong', 'Freecs', '광동', '롤', 'LCK', 'cvMax', '광튜브', '커즈', 'DuDu', 'YoungJae', 'BullDoG', 'Taeyoon', 'Cuzz']"
mRukBTLLhc4,물어보라 했다고 이거까지 물어봐 네 진짜 다 물어봤습니다 변우석 의 잡학사전 근데 TMI를 곁들인 제작지원,Entertainment,506465,5~10min,30525.0,4231.0,2024-06-19,2024-06-23,"['변우석', '바자 변우석', '변우석 바자', '바자 커버', '변우석 인터뷰', 'byeonwooseok', '선재', '류선재', '선재업고튀어', '러블리러너', 'Lovely Runner', 'Ryuseonjae', '변우석 바자 인터뷰', '변우석 밈', '변우석 화보', '변우석 커버', '변우석 바자 커버', '변우석 유튜브 인터뷰', '변우석 잡학사전', '통통이', '변우석 통통이', '변우석 우체통', '변우석 김혜윤', '선업튀 류선재', '선업튀 류선재 임솔', '선재업고튀어 변우석', '변우석 임솔', '변우석 주우재', '변우석 과거', '변우석 패션쇼', '변우석 패션', '변우석 취향', '변우석 본캐', '변우석 실제', '까르띠에', '까르띠에 트리니티', '변우석 까르띠에', '변우석 목걸이', '변우석 반지', '우석띠에', '라이즈', '라이즈 원키스', '라이즈 One kiss', '변우석 라이즈', '퍼스널컬러']",Harper's BAZAAR Korea,92821526,306000,1022,"['패션', '매거진', '하퍼스', '바자', '하퍼스바자', '패션잡지', '잡지', 'bazaar', '인터뷰', '화보']"
gDTiWGZAx-w,코파 아메리카 2024 A조 1차전 아르헨티나 vs 캐나다,Sports,1475874,10~30min,13635.0,2885.0,2024-06-21,2024-06-23,"['2024코파아메리카', 'tvN', 'tvNSPORTS', '네이마르', '디마리아', '디발라', '로멜로', '리오넬 메시', '마라도나', '멕시코', '미국', '베네수엘라', '벤탄쿠르', '볼리비아', '브라질', '비니시우스', '비니시우스 주니어', '스포츠중계', '스포츠하이라이트', '아구에로', '아르헨티나', '아메리카.메시', '에콰도르', '우루과이', '자메이카', '축구레전드', '축구중계', '칠레', '캐나다', '코스타리카', '코파', '코파아메리카', '콜롬비아', '티비엔', '티비엔스포츠', '파나마', '파라과이', '페루', '호드리구']",tvN SPORTS,623966272,695000,5704,
GsnvVzEf7RQ,그 어디에서도 보기 힘든 새 비행기 출고 브이로그,Travel & Events,478819,10~30min,10334.0,1116.0,2024-06-19,2024-06-23,"['에어부산', '에어버스', 'airbus', '새비행기', '비행기출고', '비행기공장', 'a321neo', 'a321', '김정범', '김태완', '오지혜', '황지선', '이종빈', 'airbusan']",에어부산,56697965,119000,249,"['에어부산', 'airbusan', 'Air', 'Busan', '부산', '항공사', '승무원', '에부', '비행기', '송유리', '항공기', '비행기', '기장', '정비사', '에어버스', '캐빈승무원', '문경은', '김태완', '조종사']"
nnLA4XUc4CA,백수에서 6년만에 100억 한강뷰 자취남 된 344만 유튜버에게 그 비결을 물어보다ㅣ시즌비시즌4 EP35,Entertainment,493093,10~30min,5444.0,497.0,2024-06-20,2024-06-23,"['비', '시즌비시즌', 'Rain', '비 예능', '정지훈', 'jungjihoon', '시비시', 'seasonbseason', '비 레전드', '예능 레전드', '예능', '정지훈 예능', '인급동', '인기급상승동영상', 'vlog', '브이로그', '싸이', '널 붙잡을 노래', '레이니즘', '가수 비', 'PSY', '비 레이니즘', '태양을 피하는 방법', '비 태양을 피하는 방법', '잇츠레이닝', '비 메들리', '비노래', '비노래모음', '비공연', '비콘서트', '연세대', '연대축제', '연세대축제', '지무비', '성공', '영화유튜버', '유튜버', 'GMOVIE', 'G무비', '지리는', '성수동', '아파트', '아크로서울포레스트', '팬트하우스', '성공담', '자수성가', '한강뷰', '영화', '리뷰유튜버', '지리는유튜버', '시네룸', '홈오디오', '서울숲', '성수', '부동산', '주식', '엔비디아', '테슬라', '마이크로소프트', '억대연봉', '지무비', '자수성가', '아크로서울포레스트', '정지훈', 'rain', 'jungjihoon', '시즌비시즌', 'seasonbseason']",시즌비시즌 Season B Season,415848514,1740000,229,"['비', '정지훈', '가수비', '비유튜브', '비채널', '시즌비시즌', '비', '깡', '비', '차에타봐', 'seasonbseason', 'rain', 'jungjihoon', 'jihoon', 'jeongjihoon']"
m6pTbEz4w3o,NewJeans 뉴진스 Right Now Official MV,Music,9362270,1~5min,508043.0,30952.0,2024-06-16,2024-06-23,"['HYBE', 'HYBE LABELS', '하이브', '하이브레이블즈', 'NewJeans', '뉴진스', 'NewJeans_RightNow', 'NewJeans_Supernatural', 'NewJeans_is_Everywhere', 'ADOR', '어도어']",HYBE LABELS,34519122528,75000000,1889,
